NodeNumber,NodeId,x,y,latitude,longitude
0,728,719874,6175125,55.67205767354558,12.496685312398602
1,2,719790,6175155,55.67236474362522,12.495376253249423
2,8,719909,6176184,55.68153965484565,12.498089218597146
3,6,719910,6176199,55.68167373193368,12.498117113866607
4,9,719914,6176295,55.682532911837725,12.49825755063827
5,10,720074,6176468,55.68401200528911,12.500936172401346
6,11,720156,6176503,55.684288738526085,12.502265981437276
7,15,720248,6176485,55.684085585730365,12.503712008818686
8,16,720215,6176528,55.68448620178539,12.503222659732058
9,17,720207,6176537,55.68457054708045,12.503102884962843
10,18,720016,6176581,55.685051742717576,12.500106062278737
11,19,720206,6176529,55.684499251688536,12.503080588792807
12,35,720628,6175966,55.6792584120781,12.509327049813358
13,36,720644,6176018,55.67971750858911,12.509622819751026
14,37,720622,6175917,55.67882167823255,12.509192423048848
15,38,720528,6175077,55.67133075890941,12.507025591264219
16,39,720639,6175156,55.671988879667495,12.508850580819095
17,40,720490,6175168,55.672164148004,12.506495629316168
18,41,720534,6175042,55.67101413481562,12.507092696654313
19,42,720627,6175183,55.67223648074412,12.508681840842433
20,43,720640,6175295,55.67323505664913,12.508978156302918
21,44,720682,6175184,55.67222046922924,12.509555482352317
22,64,720486,6175179,55.67226461789427,12.506440983764538
23,46,720191,6176520,55.68442533598839,12.502835242563055
24,52,720996,6177133,55.689557335029825,12.516108194947371
25,53,720795,6177056,55.688958209682156,12.512854984850465
26,54,720410,6176807,55.68689996510722,12.50654241090191
27,56,720316,6176770,55.686610787659276,12.505020369622953
28,57,720316,6176767,55.68658388190068,12.505017960124023
29,58,720305,6176640,55.685449861972636,12.504741334498021
30,68,720158,6176283,55.68231473584128,12.502121197652862
31,69,720135,6176332,55.68276462448626,12.501795408773745
32,70,720128,6176348,55.682911295463725,12.50169712624574
33,77,721412,6176165,55.68068637036099,12.521931601100563
34,78,721439,6176248,55.6814184401825,12.522427150447884
35,83,721384,6176016,55.67936283706474,12.521366955598426
36,84,721404,6176121,55.68029540628269,12.521769117153276
37,85,721462,6176307,55.68193708963644,12.522839853944694
38,87,721470,6176329,55.68213074674261,12.522984598771508
39,88,721533,6176499,55.683626642318025,12.524121891271257
40,89,721562,6176573,55.68427707384245,12.524642001283812
41,96,721499,6176408,55.682826025807614,12.523508705587009
