NodeNumber,NodeId,x,y,latitude,longitude
0,178,720337,6176109,55.6806730209589,12.50482291406728
1,180,720342,6176093,55.680527255028956,12.504889433090266
2,280,720174,6175949,55.679311962729805,12.502107194156741
3,281,719998,6175850,55.67850381777352,12.499234219828756
4,470,720507,6175905,55.67876627800465,12.507357447047397
5,474,720462,6175900,55.67874186259295,12.506639169580055
6,475,720386,6175892,55.67870460413718,12.505426437282734
7,477,720368,6175890,55.67869483394215,12.505139126955724
8,478,720287,6175882,55.67865982831988,12.50384703457244
9,479,720092,6175861,55.678559887485605,12.500735052979975
10,480,720185,6175871,55.67860742347391,12.50221921490056
11,481,720197,6175872,55.67861095204416,12.502410486938347
12,523,720219,6175789,55.67785658234406,12.502693082926266
13,266,720077,6175774,55.677786412377564,12.500427202921589
14,753,720242,6175688,55.67694032348918,12.502977097025568
15,770,720352,6176099,55.680576529686526,12.505052983123173
16,771,720345,6176110,55.680678360104544,12.504950703190781
17,772,720414,6176081,55.68038696166709,12.506022664529652
18,286,720305,6175957,55.67932430975671,12.504192944621188
19,784,720304,6175798,55.67789875488711,12.504049439560443
20,789,720397,6175807,55.677937282452746,12.505532775714308
21,184,720411,6175722,55.67716859936415,12.505686726113739
22,790,720472,6175815,55.67797499408189,12.506729612126172
23,791,720515,6175820,55.678000317145035,12.507416131251711
24,792,720376,6175805,55.6779288735612,12.5051978545524
25,793,720394,6175807,55.677938643694205,12.505485159259731
