NodeNumber,NodeId,x,y,latitude,longitude
0,0,556158,6223502,56.1532313254205,9.904026692839752
1,1,556177,6223573,56.153866923685946,9.904347492396358
2,4,555446,6223631,56.15447350856811,9.892593422350206
3,5,555444,6223593,56.1541323632063,9.892553315547866
4,6,556199,6223570,56.15383738130535,9.904700969318194
5,7,557494,6223173,56.150116575037806,9.92545933871726
6,8,557574,6223189,56.150250663484606,9.926750338459534
7,9,557486,6223172,56.15010855558089,9.925330368760768
8,10,558365,6224741,56.16409694356034,9.939821226098934
9,12,548941,6215393,56.081175787220666,9.78637400737173
10,16,548996,6215392,56.081161172085075,9.787257459064474
11,17,564522,6216111,56.085777758038645,10.036858990294622
12,18,564503,6216047,56.08520538697598,10.036538279908022
13,19,564500,6216004,56.084819507612636,10.036479707350745
14,20,564008,6216526,56.08957493108982,10.028699952541725
15,21,564059,6216447,56.08885841536396,10.029500514993218
16,22,564092,6216420,56.08861144234772,10.030024292425708
17,23,564352,6216457,56.088908905017085,10.034210901391925
18,24,564378,6216596,56.09015409037754,10.034662150910965
19,26,563993,6216517,56.08949608861978,10.028456770304249
20,27,563971,6216502,56.08936428206293,10.028099674052669
21,28,557526,6211235,56.0428661144926,9.923404100161163
22,29,557532,6211223,56.04275758926582,9.92349782266808
23,31,556042,6211734,56.04752495115043,9.899690688434239
24,5517,555844,6211708,56.04731450321156,9.896507044838721
25,32,556497,6211789,56.047965594449636,9.907005764402873
26,33,556974,6211965,56.04949021756183,9.914699868585613
27,34,556727,6212438,56.053768847800214,9.91083506225338
28,35,557266,6211994,56.049715913916764,9.919393357102381
29,72,556385,6211338,56.04392712124087,9.905113094186156
30,64,556091,6211376,56.04430302578295,9.900402304873296
31,68,556388,6211351,56.04404355690912,9.905163978937956
32,75,556432,6211265,56.0432657715424,9.90585208336146
33,76,556674,6211153,56.04223101779539,9.909712465923208
34,77,556795,6211226,56.04287249886923,9.911669905859831
35,78,556086,6210187,56.03362189951631,9.900073380014607
36,80,556247,6210309,56.03469904734524,9.90268234379357
37,83,555886,6210090,56.03277384107461,9.896843997357067
38,84,555860,6210072,56.03261516456349,9.896423065663955
39,85,557727,6209292,56.02538656486773,9.926211937442497
40,87,557757,6209294,56.02540091806162,9.926693637740454
41,92,555611,6210042,56.03237461428805,9.892421523017973
42,93,555552,6210009,56.03208499249797,9.891468012189737
43,94,555545,6210022,56.032202593519614,9.891358386827973
44,95,557928,6209785,56.02979128792592,9.929542861472887
45,96,557987,6209861,56.03046691448562,9.930505890273297
46,100,557716,6211891,56.04873656561604,9.926594768758754
47,101,557887,6211679,56.0468113823256,9.9292938742784
48,102,557849,6211634,56.04641170778543,9.928674216227657
49,103,559132,6211378,56.043955198091346,9.949211133774789
50,105,559033,6211645,56.046366044734626,9.94768098889615
51,106,559275,6211395,56.044090243647034,9.951510031372948
52,108,559267,6211417,56.04428887375341,9.951386495313347
53,113,559438,6211773,56.04746585537389,9.954209993362436
54,114,559515,6211875,56.048372621880205,9.955468597903735
55,128,559645,6219669,56.11837434982534,9.959293727989595
56,126,560275,6219687,56.118456962615596,9.969428703849172
57,132,557359,6223309,56.15135458985343,9.923315909384634
58,133,557361,6223303,56.151300448030796,9.923346806361879
59,140,557919,6211249,56.0429445243781,9.92971460665432
60,141,557918,6211194,56.04245054188804,9.92968667554939
61,142,557936,6211375,56.044074414114604,9.93001467915353
62,143,557919,6211368,56.04401358434395,9.929740315628123
63,144,557913,6211379,56.044113130543856,9.929646391662057
64,145,558033,6211455,56.04478136597576,9.931588853592872
65,146,558203,6211600,56.04606337076615,9.934348895605808
66,147,558300,6211687,56.046833152292265,9.935924752651504
67,-2,558430,6211793,56.04776957783281,9.938034513918648
68,149,558314,6211673,56.04670567629848,9.936146423404589
69,150,558339,6211644,56.04644210490926,9.936541389801295
70,159,556228,6210456,56.03602189283783,9.90240827917336
71,160,556193,6210303,56.034651481087224,9.90181458649573
72,163,559162,6210378,56.034967841319,9.949472009917365
73,164,559137,6210356,56.03477328720899,9.949066004673988
74,165,556638,6210704,56.03820157051694,9.909039849815008
75,166,556642,6210737,56.038497561552866,9.909111010643509
76,167,556703,6210647,56.03768180719587,9.91007090007654
77,170,557657,6210906,56.039894722065114,9.92543584949149
78,171,557618,6210961,56.0403935189616,9.924821781634781
79,172,557350,6210888,56.039769868302734,9.920505149318041
80,173,557349,6210834,56.03928486679814,9.9204775524388
81,174,557286,6210520,56.03647151321182,9.919399448481526
82,175,557214,6210623,56.03740544191128,9.918266039321937
83,176,559728,6210866,56.0392816283565,9.95866281567565
84,177,559806,6210937,56.039909734018444,9.959930389900405
85,178,559853,6210773,56.03843054953577,9.960648051368786
86,179,559885,6210803,56.03869605904883,9.961168273145125
87,180,559938,6210877,56.03935421852882,9.96203534031055
88,181,559927,6210838,56.03900523356082,9.961850097388838
89,182,559819,6210754,56.0382641074238,9.960098195372883
90,183,557150,6210998,56.04078198167805,9.917318926289251
91,184,557233,6211091,56.04160755857372,9.918670823913892
92,185,556752,6211110,56.041835481222066,9.91095521653332
93,186,556700,6211074,56.04151822455049,9.910113043729858
94,187,557342,6211226,56.04280732472587,9.920449047373776
95,188,557388,6211228,56.04281978287488,9.921187756286708
96,189,559622,6211577,56.0456821926945,9.95711984462683
97,190,559595,6211552,56.04546096261946,9.956680920029864
98,191,561629,6212234,56.05133031361495,9.989484239576765
99,192,561653,6212228,56.051273322803716,9.989868126281323
100,193,559747,6212968,56.05816281408516,9.959436334253637
101,194,559761,6212962,56.05810716492501,9.959659776488568
102,211,558676,6211659,56.04653568890305,9.941953860561897
103,212,558756,6211639,56.04634620735707,9.943233558897946
104,215,558666,6211689,56.046806423858925,9.941799916372332
105,216,558673,6211670,56.04663487673315,9.941908115325132
106,217,558295,6210003,56.031705230017174,9.935478418456198
107,218,558245,6209972,56.03143281555489,9.934669442867262
108,219,555192,6209486,56.027428052673194,9.8855841325875
109,220,555282,6209436,56.02696848807533,9.88701773476194
110,221,555517,6210348,56.03513455999804,9.89097658490844
111,222,555549,6210363,56.03526560797363,9.89149318027092
112,223,555552,6210391,56.0355168066543,9.891547119014128
113,227,556386,6210496,56.03636267414023,9.904952089053932
114,228,556272,6210517,56.03656473706187,9.903127138440995
115,229,556223,6210513,56.03653455488863,9.902339993267313
116,231,557667,6210536,56.036569543596734,9.925516771840858
117,232,557676,6210531,56.03652354159775,9.925660119397946
118,233,557768,6210484,56.03609022248555,9.927126315790261
119,242,556890,6214814,56.07509479489938,9.913956759152452
120,243,556795,6214971,56.07651652266729,9.912464099406895
121,249,553917,6211472,56.04541514889897,9.865527992365092
122,250,553956,6211242,56.043344470678996,9.86610768519391
123,251,554051,6211190,56.04286659904494,9.867621955345024
124,252,554191,6211102,56.0420602012924,9.869851145114811
125,253,554028,6211115,56.04219540509063,9.867237695212154
126,254,559956,6210873,56.039316031507916,9.962323309263747
127,255,560037,6210859,56.03918011608164,9.963620057946459
128,258,560080,6210598,56.03683000135483,9.964251646426177
129,259,560049,6210618,56.03701356034683,9.963758670234995
130,260,560036,6210623,56.037060107728905,9.963551178696262
131,263,559242,6211482,56.04487590337517,9.950999608273847
132,264,559337,6211459,56.044657519254166,9.95251929560477
133,265,559303,6211431,56.04441018852673,9.951967394378885
134,266,559419,6211574,56.045680470773064,9.953860903062298
135,267,559383,6211556,56.045523230492314,9.953279092896851
136,268,559393,6211521,56.04520756329494,9.95343184370161
137,269,559211,6211142,56.04182529797295,9.95042695671646
138,270,559133,6211102,56.04147558772009,9.949166309379653
139,271,559121,6211096,56.04142316709089,9.94897239957252
140,279,556229,6223448,56.15273784672793,9.905158079174578
141,280,556229,6223436,56.15263004353994,9.905155544783538
142,281,556230,6223381,56.1521358276911,9.905160024240732
143,282,555610,6223319,56.15165152558787,9.895168031510375
144,283,555582,6223346,56.15189734685151,9.894723006918824
145,284,556178,6223439,56.15266300348855,9.904335312239198
146,286,556194,6223438,56.15265213525096,9.904592627837866
147,287,556462,6223392,56.15220724268746,9.908896438636063
148,288,556497,6223392,56.15220309858028,9.909459770799732
149,289,557026,6223850,56.15625462333732,9.91807222561568
150,290,557026,6223811,56.15590426442719,9.918063870295917
151,291,557006,6223850,56.156257014254926,9.91775028843776
152,292,556354,6223451,56.15275004609891,9.907170643892439
153,293,556357,6223484,56.15304615024978,9.907225915751289
154,307,558478,6221732,56.13705171415683,9.94097970322855
155,308,558502,6221747,56.13718352595961,9.941369125478618
156,309,558603,6221492,56.13488033577003,9.942938021862393
