NodeNumber,NodeId,x,y,latitude,longitude
0,34,556727,6212438,56.053768847800214,9.91083506225338
1,35,557266,6211994,56.049715913916764,9.919393357102381
2,128,559645,6219669,56.11837434982534,9.959293727989595
3,126,560275,6219687,56.118456962615596,9.969428703849172
4,242,556890,6214814,56.07509479489938,9.913956759152452
5,243,556795,6214971,56.07651652266729,9.912464099406895
6,307,558478,6221732,56.13705171415683,9.94097970322855
7,308,558502,6221747,56.13718352595961,9.941369125478618
8,309,558603,6221492,56.13488033577003,9.942938021862393
9,310,558524,6221475,56.134737308377424,9.941663351516242
10,311,558481,6221466,56.13466172679539,9.940969603071217
11,312,558483,6221451,56.134526728732006,9.94099848735048
12,313,559495,6219678,56.11847390997404,9.956883605973712
13,314,559597,6219672,56.11840729220598,9.95852251715942
14,392,557108,6223146,56.14992038342802,9.919241155240542
15,393,557202,6223152,56.14996302278454,9.920755298825965
16,404,558954,6218214,56.105389077307336,9.9478604786735
17,405,558993,6218396,56.107019271524855,9.948527631220182
18,428,552185,6214072,56.06896514355717,9.838234195090209
19,429,552094,6214063,56.06889420437291,9.836770909578634
20,430,552189,6214082,56.069054546113065,9.838300388168648
21,431,552066,6214172,56.06987649536594,9.83634241143686
22,432,552065,6214138,56.06957115210278,9.83631973619226
23,433,551984,6214196,56.07010102443872,9.835030054785848
24,434,551982,6214157,56.06975087011609,9.83499035749249
25,437,552295,6214256,56.070606167546515,9.84003683505536
26,438,552343,6214041,56.068669385903505,9.840765738812465
27,439,552111,6214118,56.06938646690377,9.837054651128245
28,440,552119,6214146,56.06963714430551,9.83718859145766
29,441,552241,6214093,56.069147694401984,9.83913769885964
30,442,552124,6214167,56.06982526118801,9.837272986687287
31,515,550771,6218740,56.111054114333236,9.816410753787661
32,516,550893,6218818,56.11174187495911,9.818387191243662
33,517,552052,6214868,56.07613079913151,9.836252942651932
34,518,552429,6214670,56.07431082404365,9.842270185434536
35,674,558433,6220060,56.12203673892018,9.939889284306217
36,675,558371,6220290,56.12411053932243,9.93894250237869
37,678,555504,6218806,56.11112061297794,9.892522377215789
38,679,555514,6218813,56.11118233691682,9.892684614230921
39,838,556749,6212415,56.053559614882296,9.911183382451071
40,839,557089,6212248,56.052018913678076,9.916606183709156
41,879,552838,6220259,56.124476346116694,9.849945404104867
42,880,552876,6220270,56.12457096122868,9.850558772210423
43,881,552887,6220319,56.12500994778765,9.850745411736678
44,923,558659,6214457,56.071674004216106,9.942293808450733
45,924,558758,6214408,56.07122165908435,9.943873135810986
46,954,560485,6215669,56.082334700223306,9.97189588215786
47,955,560382,6216379,56.0887260216018,9.970401446526203
48,995,552668,6220318,56.12502517004582,9.84722279382625
49,996,552584,6220288,56.12476491445082,9.845865812525272
50,1021,553614,6221011,56.131145619530365,9.862577656723902
51,1022,553560,6221177,56.1326429810034,9.861742330482407
52,1025,555714,6219766,56.119720498347824,9.896099199936792
53,1026,555820,6219794,56.11995966366259,9.89780971758472
54,1027,553080,6222098,56.140970625317216,9.854203879136154
55,1100,555831,6213692,56.06513980197472,9.896711884682261
56,1101,555911,6213802,56.06611867416648,9.898019574745822
57,1102,555966,6213692,56.06512403353975,9.898879844243597
58,1103,556696,6212836,56.05734804363603,9.910421616297539
59,1116,557126,6212076,56.05046930124281,9.91716349193134
60,1117,557127,6211990,56.04969658208202,9.91716121148258
61,1118,557273,6213266,56.06114234976657,9.919777670847905
62,1176,553479,6212443,56.05418758868874,9.858691457837903
63,1200,553708,6212479,56.05448537266326,9.86237517070648
64,1201,555853,6213691,56.06512825115324,9.897064973321482
65,1203,556017,6213590,56.06420172504443,9.899677509287944
66,1204,555841,6213942,56.06738457172799,9.896924622517952
67,1205,555889,6213847,56.06652551247834,9.897675663375352
68,1222,557186,6211660,56.04672491216529,9.918037893743037
69,1223,557246,6211663,56.04674469490528,9.919001607618968
70,1265,560408,6217879,56.1021980080145,9.971158331920254
71,1266,560429,6218033,56.10357881234425,9.97153073035695
72,1296,555360,6218671,56.10992452189746,9.890179129508264
73,1298,555070,6218687,56.11010177625964,9.885519909747094
74,1297,555441,6218508,56.108450786861795,9.891447568631046
75,1299,555074,6218816,56.11126021356721,9.885610834570397
76,1301,552509,6219980,56.12200616146508,9.844598877998209
77,4781,552288,6219668,56.119227465048105,9.840983409542613
78,1317,558804,6214001,56.06755967399309,9.944522535255285
79,1318,558955,6213691,56.06475617235838,9.946879288281107
80,9627,558608,6215636,56.08227193940211,9.941732964880183
81,9625,558621,6215454,56.08063532908858,9.941901929205754
82,1340,555925,6215194,56.07862239505076,9.898535316493133
83,1341,555939,6215259,56.079204699979904,9.898773813650488
84,1342,555602,6215527,56.081651633920806,9.89341568040845
85,1343,555945,6215496,56.081333140001476,9.898919775112264
86,1416,556627,6217693,56.100990017390814,9.910342012662856
87,1417,555826,6217190,56.09656545287345,9.89736172760015
88,1418,557084,6216428,56.089571331596574,9.917417498422623
89,1419,557299,6216642,56.09146811576312,9.920918213967308
90,1420,558755,6216776,56.092495202049214,9.944345189310724
91,1421,558895,6216803,56.09272053259407,9.946600956796015
92,1422,558398,6216597,56.09093087818453,9.938569032503153
93,1423,558333,6216458,56.08969009150951,9.937494179581499
94,1424,555930,6216205,56.087704347997445,9.898827089515779
95,1425,556171,6216200,56.08763117950935,9.902698506606681
96,1426,556187,6216199,56.08762031599655,9.902955389178752
97,1427,556407,6216173,56.0873608383305,9.906484924676176
98,1428,555926,6216406,56.0895105412708,9.89880486673277
99,2100,555941,6215734,56.08347173261144,9.898905297315125
