NodeNumber,NodeId,x,y,latitude,longitude
0,38,581830,6254755,56.430236762421735,10.326878738592903
1,39,581882,6254710,56.42982356003016,10.32770757945106
2,51,582088,6258120,56.460415947337935,10.332118015285793
3,52,582075,6258228,56.46138824923619,10.331941071786241
4,53,582061,6258288,56.46192959646799,10.331732806031264
5,57,589846,6260124,56.477000211031275,10.458660207318657
6,58,589890,6260207,56.4777372704305,10.459402900280404
7,61,583335,6258360,56.46235283420002,10.352424532354833
8,4360,583318,6258083,56.459867889019215,10.352060321556499
9,62,583345,6258473,56.46336600584695,10.352622850255532
10,63,578779,6256520,56.44660913425358,10.277952612192173
11,64,578877,6256523,56.44661970566274,10.279542825705336
12,157,588905,6261267,56.48744440704802,10.443778266063662
13,158,588854,6261229,56.48711273736233,10.44293738966484
14,159,589441,6260812,56.483256426510096,10.452323386315376
15,160,589313,6260811,56.48327172787724,10.450245360884036
16,161,589259,6260805,56.48322807355394,10.4493667832481
17,191,580930,6252786,56.4127064138285,10.31168065012039
18,192,580927,6252888,56.41362309024245,10.311663565359783
19,193,581042,6252784,56.4126692481567,10.313494743289267
20,194,581033,6252809,56.41289534161128,10.313356654667858
21,195,581048,6252812,56.41291971413801,10.313600626179154
22,196,581085,6252877,56.413497192765305,10.314220260292727
23,197,581125,6252733,56.4121969205093,10.314823772905044
24,198,581143,6252866,56.41338843131829,10.315156632010401
25,205,584650,6254447,56.42697313695285,10.372490978022915
26,206,584657,6254469,56.427169480120256,10.372611556132409
27,210,583116,6257462,56.454325848912234,10.348585681969102
28,211,583326,6257446,56.45414508573675,10.351986828633567
29,212,583329,6257464,56.45430622770704,10.352041232309341
30,213,584881,6255591,56.43720674948694,10.376606408177409
31,10765,584817,6255691,56.43811642721742,10.375601231323762
32,218,585088,6255247,56.43407976928037,10.379850509095617
33,219,585152,6255252,56.43411313604739,10.380889668525054
34,220,584687,6254574,56.428107182270146,10.37313180214101
35,221,584680,6254548,56.42787491271384,10.373009923548796
36,222,584678,6254538,56.427785454060775,10.372974269046372
37,223,584514,6255012,56.432072187692725,10.370469172148828
38,224,584520,6255003,56.431990277732815,10.37056352750975
39,226,582952,6257857,56.45790253181452,10.346051032223238
40,-1,582998,6257820,56.4575621116577,10.346785473910016
41,230,584774,6254943,56.431405826062125,10.37466156785491
42,231,584810,6254929,56.43127361536396,10.375240599986013
43,232,584647,6254988,56.43183279474949,10.372617418333835
44,233,584645,6254979,56.431752317786774,10.37258208453664
45,234,584635,6254943,56.43143076841048,10.372408330154352
46,246,585182,6255253,56.434116704565106,10.381376337373482
47,247,585199,6255250,56.43408669116152,10.381650954378296
48,248,584818,6254850,56.43056262174773,10.375344663896657
49,249,584914,6254825,56.43032082011322,10.376892703889743
50,250,584932,6254820,56.43027267337927,10.377182857699076
51,229,584852,6254962,56.43156246443007,10.375932137084195
