NodeNumber,NodeId,x,y,latitude,longitude
0,205,584650,6254447,56.42697313695285,10.372490978022915
1,206,584657,6254469,56.427169480120256,10.372611556132409
2,213,584881,6255591,56.43720674948694,10.376606408177409
3,10765,584817,6255691,56.43811642721742,10.375601231323762
4,218,585088,6255247,56.43407976928037,10.379850509095617
5,219,585152,6255252,56.43411313604739,10.380889668525054
6,220,584687,6254574,56.428107182270146,10.37313180214101
7,221,584680,6254548,56.42787491271384,10.373009923548796
8,222,584678,6254538,56.427785454060775,10.372974269046372
9,223,584514,6255012,56.432072187692725,10.370469172148828
10,224,584520,6255003,56.431990277732815,10.37056352750975
11,230,584774,6254943,56.431405826062125,10.37466156785491
12,231,584810,6254929,56.43127361536396,10.375240599986013
13,232,584647,6254988,56.43183279474949,10.372617418333835
14,233,584645,6254979,56.431752317786774,10.37258208453664
15,234,584635,6254943,56.43143076841048,10.372408330154352
16,246,585182,6255253,56.434116704565106,10.381376337373482
17,247,585199,6255250,56.43408669116152,10.381650954378296
18,248,584818,6254850,56.43056262174773,10.375344663896657
19,249,584914,6254825,56.43032082011322,10.376892703889743
20,250,584932,6254820,56.43027267337927,10.377182857699076
21,229,584852,6254962,56.43156246443007,10.375932137084195
22,251,584849,6254951,56.4314642047463,10.375879937381582
23,252,584840,6254920,56.43118738899175,10.37572398865378
24,255,584241,6255374,56.43537238269883,10.366160272491381
25,256,584254,6255252,56.43427428837719,10.366331720314498
26,257,584253,6255243,56.43419363109967,10.366312608996006
27,258,584250,6255227,56.43405045853706,10.366258819454487
28,259,584238,6255151,56.43336998693146,10.366039800020776
29,440,584709,6254971,56.43166898328669,10.37361696457737
30,441,584574,6255033,56.43225005783327,10.371448601207772
31,442,584573,6255028,56.43220532831585,10.37143077363584
32,443,584572,6255019,56.432124671845024,10.371411652640422
33,444,584670,6254515,56.42758030888817,10.37283715470776
34,445,584468,6255056,56.432475618118886,10.369737693168581
35,446,584474,6255054,56.43245658090953,10.369834312080798
36,447,584506,6255048,56.43239696265516,10.370351119186179
37,448,584505,6255042,56.432343251233824,10.370332969714331
38,484,584288,6256024,56.44120212580944,10.36713180478856
39,486,584781,6255762,56.43876059769593,10.3750405817861
40,487,584724,6254963,56.43159443742677,10.373857529799327
41,754,586704,6256934,56.448937630338,10.406607538580616
42,755,586656,6257292,56.45216185571759,10.405947852394497
43,756,588053,6257761,56.45611545070615,10.428763662809502
44,757,588016,6257689,56.455475690474785,10.428139237879531
45,758,587902,6257865,56.45707769453766,10.426349377622742
46,759,587913,6257821,56.45668045849232,10.426512993946977
47,793,585690,6255762,56.438596418204924,10.389778537322627
48,794,585843,6255697,56.43798480476174,10.39223782496207
49,1203,584571,6255179,56.43356192885335,10.371447182339677
50,1204,584599,6255173,56.43350302077587,10.37189915681977
51,1205,584840,6255188,56.43359449017607,10.375810926860646
52,1206,584844,6255186,56.433575807749335,10.375875123001004
53,1207,584917,6255155,56.4332842471033,10.377048477331703
54,1208,584971,6255331,56.434855310182506,10.377981065202535
55,1209,584944,6255260,56.434222468713294,10.377520283652844
56,1210,584924,6255195,56.433642256282425,10.377174944709347
57,1211,584964,6255063,56.43244947172115,10.377780510469973
58,1212,585027,6255026,56.43210580438999,10.378789758517167
59,1213,585147,6255093,56.43268594768891,10.380756842345406
60,1214,585146,6255090,56.43265918297014,10.380739654795747
61,1215,585140,6255059,56.43238183247149,10.380632297934964
62,1216,585233,6255018,56.43199679929031,10.38212653100261
63,1310,584989,6256595,56.446204936545556,10.378683848356612
64,1311,585074,6256590,56.44614470820572,10.38006063098682
65,1315,585187,6256561,56.44586384940728,10.38188364768999
66,1316,584816,6255198,56.43368862060388,10.37542510002463
67,1317,584771,6255217,56.4338673573746,10.374701750566595
68,4622,584517,6255336,56.43498173390312,10.370622515990888
69,1434,584361,6256526,56.445697910224155,10.368477508843691
70,1435,584991,6256605,56.44629439314793,10.378719534184395
71,1436,584780,6255254,56.434198064609646,10.374859648391563
72,1443,584094,6256099,56.4419103705673,10.364010308505302
73,1456,584080,6256070,56.44165239460894,10.363773971420747
74,1509,585048,6256743,56.44752359373378,10.379688800558714
75,1510,585055,6256781,56.44786363569915,10.379814691073717
76,1511,585079,6256631,56.44651205560317,10.380155063450667
77,1512,585272,6256547,56.44572275059636,10.38325747541623
78,1563,585089,6256723,56.44733656691049,10.380347190602905
79,1605,584563,6255147,56.433275946614934,10.371307144703438
80,1649,584953,6254688,56.42908330787778,10.377480394228904
81,1650,584967,6254658,56.428811336786914,10.377697580428096
82,1651,585023,6254550,56.42783122926129,10.378570194463862
83,1848,588242,6258122,56.45932243513755,10.431951329535348
84,1849,588250,6258140,56.45948260439144,10.432087188418564
85,449,584272,6255480,56.436318914103126,10.366697010124229
86,2258,588126,6258315,56.46107755209469,10.430134746203125
87,2259,588262,6258188,56.459911468709876,10.432298078435226
88,2325,583822,6258260,56.46136833379929,10.3602933220567
89,2326,584379,6258060,56.45947264485391,10.369264966240918
90,2327,584563,6257966,56.458595404490076,10.37221942417143
91,2328,584453,6258474,56.463177820553845,10.370599352983293
92,2587,584497,6255197,56.43373685317702,10.37025336389249
93,2588,584461,6255205,56.43381515036759,10.369672338909833
94,2589,584386,6255221,56.43397227298033,10.36846164726495
95,2590,584466,6255237,56.43410167134901,10.36976373181695
96,2614,584497,6254504,56.427512504195896,10.370029491362509
97,8033,584502,6254523,56.42768226252442,10.370116671978721
98,2615,584495,6254493,56.42741406289578,10.369993521222982
99,2616,584387,6254507,56.427559123963306,10.368247500341592
100,2637,584285,6254990,56.431915534242776,10.366749840353549
101,2638,584293,6255032,56.43229133941954,10.366893061713606
102,2863,587789,6257910,56.45750291096124,10.42453154358722
103,2864,587958,6257831,56.45676188255688,10.427246295164807
104,2867,588216,6257585,56.45450424982334,10.431348145333288
105,2868,588025,6257781,56.4563003073796,10.428316231133637
106,2887,585079,6254781,56.42989591624535,10.379553015625955
107,2888,585126,6254768,56.429770681169565,10.380310638510792
108,2892,584930,6254812,56.43020117945586,10.377147840472231
109,2893,584924,6254756,56.42969928258523,10.377032400330377
110,4451,584722,6254693,56.429169728955365,10.373737655030666
111,2907,584771,6254682,56.42906213368319,10.374528349972087
112,2967,584038,6256178,56.442629906045916,10.363127676482033
113,2968,584277,6256028,56.44124001751999,10.36695473442653
114,3188,586809,6256453,56.44459818174138,10.408150580224625
115,7799,586633,6256513,56.4451694266567,10.405316502417717
116,3190,586726,6256843,56.44811626262443,10.406934117725456
117,3191,585559,6255846,56.4393746467025,10.38768208693941
118,3192,588291,6258205,56.460058724513445,10.432774267554617
119,3193,588281,6258156,56.45962050515515,10.43259547709399
120,3244,588111,6257953,56.457829061820824,10.429769237248552
121,3245,588094,6257962,56.45791307113749,10.429496513311204
122,3246,588067,6257821,56.45665172547875,10.42901098457135
123,3247,588321,6257696,56.45548154164051,10.433088759836364
124,3248,588331,6257724,56.45573114986624,10.433260432468296
125,3249,588281,6257586,56.454501069092835,10.432402768119115
126,3250,587970,6257820,56.45666084791618,10.427437238542234
127,3251,587875,6258578,56.46348652692322,10.426151409555933
128,3252,588267,6258114,56.45924590448689,10.432354170350955
