NodeNumber,NodeId,x,y,latitude,longitude
0,0,594200,6135279,55.35479738417921,10.485796841331416
1,1,594230,6135364,55.35555517665156,10.486298454684038
2,2,594319,6135246,55.354478124914216,10.487661979674888
3,3,594695,6135487,55.35657068217776,10.493671765692312
4,4,594640,6135581,55.357425664740894,10.492836330434683
5,5,594638,6135634,55.35790214039937,10.492822712449085
6,6,594636,6135603,55.35762405758073,10.492780696341956
7,7,594573,6135700,55.35850752249141,10.491820087320994
8,10,594481,6135276,55.35471649227367,10.490226309067321
9,11,594466,6135325,55.35515953573742,10.49000633963442
10,12,594784,6135446,55.356185227430046,10.495061192002508
11,13,594847,6135435,55.356074260743036,10.496050807715779
12,14,594913,6135440,55.35610643183746,10.497093143766241
13,15,595376,6135431,55.35593594329295,10.504390316639045
14,16,595366,6135311,55.354859948565625,10.504191770177362
15,17,593067,6135756,55.359298119143524,10.468091446670888
16,18,593138,6135695,55.35873670700793,10.469190731975562
17,21,593298,6135581,55.35768229956374,10.471675700829213
18,22,593402,6135551,55.357393054672045,10.473305573304101
19,23,593419,6135597,55.35780303724088,10.473588979820004
20,24,593475,6135582,55.35765764386948,10.474466986651267
21,25,593515,6135519,55.357084109672286,10.475076664238507
22,26,593527,6135573,55.35756690303714,10.475283919486957
23,20,593952,6135240,55.35449452653868,10.481873567624648
24,27,594065,6135320,55.3551915410161,10.483682088252289
25,28,594109,6135312,55.35511125391759,10.484373148423138
26,29,594141,6135406,55.35594951505677,10.484909299667276
27,30,594244,6135403,55.355902823786494,10.486532323132653
28,31,591274,6134304,55.34659105996567,10.439344439840408
29,32,591281,6134356,55.347056879801535,10.439471731993073
30,33,592775,6134502,55.34808870280285,10.463071463306042
31,34,593170,6134696,55.349756684760074,10.469362902196192
32,35,590044,6134094,55.34493144021576,10.419887173930684
33,36,589980,6134140,55.34535638334761,10.418893090284039
34,37,590159,6133968,55.3437784873168,10.421659416447097
35,38,590168,6133963,55.343731921038035,10.421799673692206
36,39,590200,6134165,55.345540645250914,10.422369121993036
37,40,590112,6134057,55.34458660422516,10.42094718389395
38,41,590123,6134192,55.34579731220603,10.42116400825922
39,42,590185,6134021,55.34424982507573,10.422086312784147
40,49,590516,6133979,55.343811703041546,10.427290324914388
41,50,590476,6134011,55.344106525899086,10.42667014225575
42,51,590415,6133936,55.34344401359195,10.425684394288293
43,52,590399,6133916,55.34326729322524,10.425425737118083
44,53,590371,6133870,55.34285921677206,10.424969544769255
45,54,590659,6133701,55.341288048182676,10.429454470965494
46,55,590691,6133754,55.34175825183417,10.42997600453924
47,56,590695,6133760,55.341811412680684,10.430040994817487
48,57,590726,6133800,55.342165017798045,10.430542570799
49,58,590778,6133855,55.34264949046655,10.431380025052954
50,59,590926,6133666,55.34092433598181,10.433651532044449
51,60,591063,6133693,55.34114152538311,10.435819659313244
52,61,590948,6133746,55.34163891500779,10.434024254384788
53,62,591049,6133763,55.34177293455191,10.435621738837014
54,63,590940,6133820,55.342305144031506,10.433922174639056
55,64,591035,6133836,55.342431292647056,10.435424786906816
56,65,590971,6133979,55.34372772119454,10.434462428041668
57,66,590997,6133993,55.34384867280835,10.43487680834229
58,67,590419,6134060,55.34455718572707,10.42578746332148
59,68,590440,6134042,55.344391626687454,10.426112680148307
60,69,590331,6133950,55.343585218323405,10.424364834567683
61,70,591144,6133709,55.34127024632206,10.437101567506867
62,71,591170,6133784,55.34193915729008,10.437535776752403
63,72,591168,6133859,55.342613259422215,10.437528654823724
64,73,591020,6133915,55.34314373407545,10.43521401517587
65,74,591161,6133939,55.34333320402675,10.43744434651311
66,75,591040,6134012,55.344011390680876,10.43556078535218
67,76,591088,6134032,55.34418216140573,10.4363239079683
68,77,591109,6134040,55.3442501347731,10.436657532261282
69,78,592798,6134142,55.34485049039707,10.463314787501565
70,79,595081,6135698,55.35839152028454,10.4998296752564
71,80,594921,6135594,55.357488241234506,10.4972714977983
72,81,595106,6135454,55.35619487662095,10.500140984812383
73,82,595141,6135455,55.35619708439384,10.500693180449575
74,83,595070,6135452,55.35618387700392,10.499572682294522
75,84,591754,6135961,55.36138658014004,10.44745409082605
76,-13,591754,6135961,55.36138658014004,10.44745409082605
77,85,593242,6136122,55.36255269111156,10.470972912746664
78,86,593291,6136137,55.36267813276648,10.471750645274945
79,87,593429,6135949,55.36096312160141,10.473864154533073
80,88,593459,6135937,55.3608496210234,10.474333229177697
81,89,593216,6136019,55.36163238388775,10.47052858386092
82,90,593232,6136016,55.36160239918572,10.470779899399572
83,91,593471,6135934,55.360820389527525,10.474521459418312
