NodeNumber,NodeId,x,y,latitude,longitude
0,26,604255,6229693,56.20074558567679,10.680427510744964
1,27,604248,6229667,56.2005136178277,10.680304525313126
2,28,604156,6229565,56.199617709421794,10.678782334046247
3,29,604046,6229387,56.19804317378674,10.676940451699997
4,30,604258,6229705,56.200852698241064,10.68048055591557
5,31,604789,6231761,56.21920051833832,10.689847421098971
6,32,604709,6231622,56.21796980886666,10.688503063579255
7,33,604855,6231763,56.21920394081582,10.690912018219601
8,34,604863,6231559,56.2173701131265,10.690960283370483
9,35,604774,6231573,56.21751544672517,10.689531356467025
10,36,604796,6231627,56.217995561067575,10.689907285504061
11,37,604708,6231578,56.21757487713339,10.688469570295066
12,38,590608,6227408,56.18301484892455,10.45976622653029
13,39,590604,6227331,56.18232401406895,10.459675553806248
14,40,590598,6227256,56.18165152284335,10.459553357728115
15,41,588920,6228372,56.19199136611128,10.432903560592617
16,42,589003,6228277,56.191122588742616,10.434208758010264
17,43,589058,6228477,56.192908677441594,10.435161790115682
18,44,589103,6228315,56.19144520318635,10.435832352613906
19,45,588818,6228125,56.189791877326144,10.43117785939583
20,46,588883,6228089,56.18945640656749,10.43221282833353
21,48,589010,6228876,56.19650140492317,10.434522296248362
22,51,589023,6228797,56.195789409742616,10.434705247793962
23,49,588612,6228006,56.18876139888127,10.42781992290248
24,50,589018,6228704,56.194955033188606,10.434593517083572
25,54,588825,6228671,56.194694666356185,10.431473230216696
26,55,588889,6228611,56.194143814937874,10.432484184134909
27,56,588951,6228655,56.194527440937,10.43349772728095
28,57,588873,6228726,56.19517971361457,10.432264917770958
29,58,597922,6234323,56.243673055895,10.580104996099436
30,59,597681,6234319,56.24368671082095,10.576216318180458
31,76,591403,6227085,56.1799619154181,10.472458465974553
32,77,591607,6227246,56.181368796327135,10.475799074115166
33,78,588826,6228882,56.19658965064077,10.431559927390637
34,79,588836,6228685,56.19481836064921,10.431655123833107
35,80,588983,6228846,56.19623699530738,10.434077252372802
36,81,588943,6228869,56.1964510498044,10.433440532442505
37,105,594556,6232573,56.22863700136037,10.525187280628069
